team,player,nationality,position,age,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,xg,npxg,xg_assist,npxg_xg_assist,progressive_carries,progressive_passes,progressive_passes_received,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_per90,npxg_xg_assist_per90
Brighton,Pascal Groß,deGER,"MF,DF",32,36,34,"3,114",34.6,4,10,14,3,1,1,6,0,6.5,5.7,8.1,13.8,83,302,180,0.12,0.29,0.40,0.09,0.38,0.19,0.24,0.42,0.16,0.40
Brighton,Lewis Dunk,engENG,DF,31,33,33,"2,869",31.9,3,1,4,3,0,0,7,1,3.1,3.1,0.9,4.0,33,152,13,0.09,0.03,0.13,0.09,0.13,0.10,0.03,0.12,0.10,0.12
Brighton,Jan Paul van Hecke,nlNED,DF,23,28,26,"2,369",26.3,0,0,0,0,0,0,4,0,1.2,1.2,0.9,2.1,25,147,7,0.00,0.00,0.00,0.00,0.00,0.05,0.03,0.08,0.05,0.08
Brighton,Simon Adingra,ciCIV,FW,21,31,25,"2,222",24.7,6,1,7,6,0,0,3,0,4.3,4.3,3.7,8.0,111,50,278,0.24,0.04,0.28,0.24,0.28,0.17,0.15,0.32,0.17,0.32
Brighton,Billy Gilmour,sctSCO,MF,22,30,24,"2,120",23.6,0,1,1,0,0,0,8,1,1.0,1.0,2.0,3.0,39,193,33,0.00,0.04,0.04,0.00,0.04,0.04,0.09,0.13,0.04,0.13
Brighton,Bart Verbruggen,nlNED,GK,20,21,21,"1,890",21.0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Brighton,Danny Welbeck,engENG,"FW,MF",32,29,21,"1,693",18.8,5,1,6,5,0,0,4,0,5.3,5.3,1.7,7.0,32,44,100,0.27,0.05,0.32,0.27,0.32,0.28,0.09,0.37,0.28,0.37
Brighton,João Pedro,brBRA,"FW,MF",21,31,19,"2,045",22.7,9,3,12,5,4,5,2,0,11.9,7.9,3.8,11.7,83,92,205,0.40,0.13,0.53,0.22,0.35,0.53,0.17,0.69,0.35,0.51
Brighton,Igor,brBRA,DF,25,24,17,"1,637",18.2,0,0,0,0,0,0,4,0,0.3,0.3,0.7,1.0,30,107,12,0.00,0.00,0.00,0.00,0.00,0.02,0.04,0.05,0.02,0.05
Brighton,Joël Veltman,nlNED,DF,31,27,17,"1,588",17.6,1,1,2,1,0,0,4,0,0.4,0.4,0.5,0.9,24,85,54,0.06,0.06,0.11,0.06,0.11,0.02,0.03,0.05,0.02,0.05
Brighton,Jason Steele,engENG,GK,32,17,17,"1,530",17.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Brighton,Facundo Buonanotte,arARG,"FW,MF",18,27,17,"1,364",15.2,3,1,4,3,0,0,7,0,2.4,2.4,1.8,4.2,23,42,69,0.20,0.07,0.26,0.20,0.26,0.16,0.12,0.28,0.16,0.28
Brighton,Kaoru Mitoma,jpJPN,FW,26,19,15,"1,486",16.5,3,4,7,3,0,0,4,0,3.5,3.5,2.7,6.2,121,64,239,0.18,0.24,0.42,0.18,0.42,0.21,0.16,0.37,0.21,0.37
Brighton,Evan Ferguson,ieIRL,FW,18,27,15,"1,367",15.2,6,0,6,6,0,0,1,0,4.6,4.6,0.5,5.1,13,15,62,0.40,0.00,0.40,0.40,0.40,0.30,0.04,0.34,0.30,0.34
Brighton,Carlos Baleba,cmCMR,MF,19,27,15,"1,325",14.7,0,0,0,0,0,0,7,0,0.8,0.8,0.3,1.1,19,50,9,0.00,0.00,0.00,0.00,0.00,0.06,0.02,0.08,0.06,0.08
Brighton,Pervis Estupiñán,ecECU,DF,25,19,15,"1,243",13.8,2,3,5,2,0,0,4,0,1.0,1.0,3.5,4.4,47,83,88,0.14,0.22,0.36,0.14,0.36,0.07,0.25,0.32,0.07,0.32
Brighton,Adam Webster,engENG,DF,28,15,13,"1,144",12.7,0,0,0,0,0,0,2,0,0.4,0.4,0.1,0.6,16,80,2,0.00,0.00,0.00,0.00,0.00,0.03,0.01,0.05,0.03,0.05
Brighton,Adam Lallana,engENG,"MF,FW",35,25,13,850,9.4,0,1,1,0,0,0,2,0,0.8,0.8,1.7,2.5,9,39,55,0.00,0.11,0.11,0.00,0.11,0.09,0.18,0.27,0.09,0.27
Brighton,James Milner,engENG,"DF,MF",37,15,11,773,8.6,0,2,2,0,0,0,3,0,0.3,0.3,1.8,2.0,11,69,73,0.00,0.23,0.23,0.00,0.23,0.03,0.21,0.24,0.03,0.24
Brighton,Tariq Lamptey,ghGHA,"DF,FW",22,19,10,914,10.2,0,3,3,0,0,0,3,0,0.4,0.4,1.2,1.7,39,17,64,0.00,0.30,0.30,0.00,0.30,0.04,0.12,0.16,0.04,0.16
Brighton,Jack Hinshelwood,engENG,DF,18,12,8,869,9.7,3,0,3,3,0,0,1,0,1.9,1.9,0.7,2.5,16,19,38,0.31,0.00,0.31,0.31,0.31,0.19,0.07,0.26,0.19,0.26
Brighton,Solly March,engENG,"FW,DF",29,7,7,554,6.2,3,1,4,3,0,0,1,0,2.0,2.0,1.0,2.9,14,24,44,0.49,0.16,0.65,0.49,0.65,0.32,0.16,0.47,0.32,0.47
Brighton,Jakub Moder,plPOL,"MF,DF",24,17,6,618,6.9,0,0,0,0,0,0,2,0,0.6,0.6,0.8,1.3,10,23,26,0.00,0.00,0.00,0.00,0.00,0.08,0.11,0.20,0.08,0.20
Brighton,Mahmoud Dahoud,deGER,MF,27,9,6,452,5.0,0,1,1,0,0,0,1,1,0.2,0.2,0.9,1.1,4,11,6,0.00,0.20,0.20,0.00,0.20,0.04,0.18,0.22,0.04,0.22
Brighton,Julio Enciso,pyPAR,"MF,FW",19,12,5,475,5.3,0,2,2,0,0,0,2,0,1.4,1.4,1.7,3.2,28,21,29,0.00,0.38,0.38,0.00,0.38,0.27,0.32,0.59,0.27,0.59
Brighton,Ansu Fati,esESP,"MF,FW",20,19,3,521,5.8,2,0,2,2,0,0,2,0,3.4,3.4,0.8,4.2,16,28,50,0.35,0.00,0.35,0.35,0.35,0.59,0.14,0.73,0.59,0.73
Brighton,Valentín Barco,arARG,"DF,FW",19,6,3,307,3.4,0,0,0,0,0,0,1,0,0.2,0.2,0.2,0.4,8,14,20,0.00,0.00,0.00,0.00,0.00,0.05,0.07,0.13,0.05,0.13
Brighton,Odeluga Offiah,engENG,DF,20,4,1,128,1.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,9,4,9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Brighton,Mark O'Mahony,ieIRL,FW,18,3,1,63,0.7,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,0,0,0,0.00,0.00,0.00,0.00,0.00,0.08,0.00,0.08,0.08,0.08
Brighton,Benicio Boaitey,engENG,"FW,DF",19,5,0,40,0.4,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,1,2,2,0.00,0.00,0.00,0.00,0.00,0.05,0.13,0.19,0.05,0.19
Brighton,Steven Alzate,coCOL,MF,24,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brighton,Bigo Atom,deGER,DF,18,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brighton,Luca Barrington,engENG,MF,18,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brighton,Samy Chouchane,tnTUN,MF,19,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brighton,Josh Duffus,engENG,MF,18,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brighton,Ben Jackson,engENG,DF,19,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brighton,Leigh Kavanagh,ieIRL,DF,19,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brighton,Cameron Peupion,auAUS,MF,20,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brighton,Imari Samuels,engENG,DF,20,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
