team,player,nationality,position,age,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,xg,npxg,xg_assist,npxg_xg_assist,progressive_carries,progressive_passes,progressive_passes_received,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_per90,npxg_xg_assist_per90
Everton,Jordan Pickford,engENG,GK,29,38,38,"3,420",38.0,0,0,0,0,0,0,5,0,0.0,0.0,0.1,0.1,1,6,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Everton,James Tarkowski,engENG,DF,30,38,38,"3,419",38.0,1,1,2,1,0,0,11,0,2.6,2.6,2.5,5.1,15,130,20,0.03,0.03,0.05,0.03,0.05,0.07,0.06,0.13,0.07,0.13
Everton,Jarrad Branthwaite,engENG,DF,21,35,35,"3,116",34.6,3,0,3,3,0,0,8,0,1.7,1.7,1.0,2.8,2,74,6,0.09,0.00,0.09,0.09,0.09,0.05,0.03,0.08,0.05,0.08
Everton,James Garner,engENG,MF,22,37,34,"3,004",33.4,1,2,3,1,0,0,7,0,2.7,2.7,4.6,7.3,36,100,76,0.03,0.06,0.09,0.03,0.09,0.08,0.14,0.22,0.08,0.22
Everton,Dwight McNeil,engENG,"MF,FW",23,35,33,"2,892",32.1,3,6,9,3,0,0,2,0,3.4,3.4,8.8,12.2,80,114,147,0.09,0.19,0.28,0.09,0.28,0.11,0.27,0.38,0.11,0.38
Everton,Abdoulaye Doucouré,mlMLI,"FW,MF",30,32,32,"2,629",29.2,7,1,8,7,0,0,7,0,8.8,8.8,2.9,11.6,55,97,140,0.24,0.03,0.27,0.24,0.27,0.30,0.10,0.40,0.30,0.40
Everton,Vitaliy Mykolenko,uaUKR,DF,24,28,28,"2,469",27.4,2,0,2,2,0,0,1,0,1.5,1.5,0.9,2.4,14,55,68,0.07,0.00,0.07,0.07,0.07,0.06,0.03,0.09,0.06,0.09
Everton,Ashley Young,engENG,"DF,MF",38,31,27,"2,280",25.3,0,0,0,0,0,0,7,1,0.6,0.6,1.5,2.1,40,82,61,0.00,0.00,0.00,0.00,0.00,0.02,0.06,0.08,0.02,0.08
Everton,Dominic Calvert-Lewin,engENG,FW,26,32,26,"2,171",24.1,7,2,9,5,2,2,2,0,12.9,11.4,3.1,14.5,36,31,122,0.29,0.08,0.37,0.21,0.29,0.54,0.13,0.66,0.47,0.60
Everton,Jack Harrison,engENG,"MF,FW",26,29,25,"2,214",24.6,3,3,6,3,0,0,1,0,3.6,3.6,3.4,7.0,65,62,135,0.12,0.12,0.24,0.12,0.24,0.14,0.14,0.28,0.14,0.28
Everton,Idrissa Gana Gueye,snSEN,MF,33,25,24,"1,884",20.9,4,0,4,4,0,0,8,0,1.3,1.3,1.1,2.4,29,83,41,0.19,0.00,0.19,0.19,0.19,0.06,0.05,0.12,0.06,0.12
Everton,Amadou Onana,beBEL,MF,21,30,23,"2,091",23.2,2,0,2,2,0,0,5,0,2.0,2.0,2.7,4.7,21,107,39,0.09,0.00,0.09,0.09,0.09,0.09,0.11,0.20,0.09,0.20
