team,player,nationality,position,age,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,xg,npxg,xg_assist,npxg_xg_assist,progressive_carries,progressive_passes,progressive_passes_received,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_per90,npxg_xg_assist_per90
Fulham,Bernd Leno,deGER,GK,31,38,38,"3,420",38.0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Fulham,Antonee Robinson,usUSA,DF,25,37,37,"3,265",36.3,0,6,6,0,0,0,6,0,0.7,0.7,4.2,4.8,99,129,194,0.00,0.17,0.17,0.00,0.17,0.02,0.11,0.13,0.02,0.13
Fulham,Andreas Pereira,brBRA,MF,27,37,34,"2,613",29.0,3,7,10,3,0,0,6,0,4.6,4.6,7.1,11.7,56,138,125,0.10,0.24,0.34,0.10,0.34,0.16,0.24,0.40,0.16,0.40
Fulham,João Palhinha,ptPOR,MF,28,33,31,"2,699",30.0,4,1,5,4,0,0,13,0,3.3,3.3,0.8,4.1,8,97,14,0.13,0.03,0.17,0.13,0.17,0.11,0.03,0.14,0.11,0.14
Fulham,Timothy Castagne,beBEL,DF,27,34,29,"2,634",29.3,1,3,4,1,0,0,3,0,1.6,1.6,1.9,3.5,48,77,113,0.03,0.10,0.14,0.03,0.14,0.06,0.07,0.12,0.06,0.12
Fulham,Calvin Bassey,ngNGA,DF,23,29,25,"2,303",25.6,1,0,1,1,0,0,6,1,0.3,0.3,0.0,0.4,15,62,4,0.04,0.00,0.04,0.04,0.04,0.01,0.00,0.01,0.01,0.01
Fulham,Alex Iwobi,ngNGA,"FW,MF",27,30,25,"2,192",24.4,5,2,7,5,0,0,2,0,5.3,5.3,4.7,10.0,109,147,175,0.21,0.08,0.29,0.21,0.29,0.22,0.19,0.41,0.22,0.41
Fulham,Willian,brBRA,FW,34,31,24,"2,053",22.8,4,2,6,2,2,2,1,0,5.1,3.6,3.9,7.5,92,153,181,0.18,0.09,0.26,0.09,0.18,0.22,0.17,0.40,0.16,0.33
Fulham,Tosin Adarabioyo,engENG,DF,25,20,18,"1,617",18.0,2,0,2,2,0,0,2,0,0.7,0.7,0.1,0.8,10,62,5,0.11,0.00,0.11,0.11,0.11,0.04,0.01,0.05,0.04,0.05
Fulham,Rodrigo Muniz,brBRA,FW,22,26,18,"1,593",17.7,9,1,10,9,0,0,1,0,8.7,8.7,2.0,10.7,8,19,76,0.51,0.06,0.56,0.51,0.56,0.49,0.12,0.61,0.49,0.61
