team,player,nationality,position,age,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,xg,npxg,xg_assist,npxg_xg_assist,progressive_carries,progressive_passes,progressive_passes_received,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_per90,npxg_xg_assist_per90
Tottenham,Guglielmo Vicario,itITA,GK,26,38,38,"3,420",38.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Tottenham,Pedro Porro,esESP,DF,23,35,35,"3,089",34.3,3,7,10,3,0,0,3,0,2.9,2.9,7.2,10.1,57,194,158,0.09,0.20,0.29,0.09,0.29,0.09,0.21,0.30,0.09,0.30
Tottenham,Son Heung-min,krKOR,FW,31,35,34,"2,934",32.6,17,10,27,15,2,2,1,0,12.0,10.4,11.8,22.2,119,139,325,0.52,0.31,0.83,0.46,0.77,0.37,0.36,0.73,0.32,0.68
Tottenham,Cristian Romero,arARG,DF,25,33,33,"2,790",31.0,5,0,5,5,0,0,7,1,3.5,3.5,0.4,3.9,32,179,8,0.16,0.00,0.16,0.16,0.16,0.11,0.01,0.13,0.11,0.13
Tottenham,Dejan Kulusevski,seSWE,"FW,MF",23,36,31,"2,762",30.7,8,3,11,8,0,0,7,0,4.7,4.7,7.7,12.4,151,144,388,0.26,0.10,0.36,0.26,0.36,0.15,0.25,0.40,0.15,0.40
Tottenham,Destiny Udogie,itITA,DF,20,28,28,"2,391",26.6,2,3,5,2,0,0,7,1,2.4,2.4,2.2,4.6,83,155,138,0.08,0.11,0.19,0.08,0.19,0.09,0.08,0.17,0.09,0.17
Tottenham,Micky van de Ven,nlNED,DF,22,27,27,"2,339",26.0,3,0,3,3,0,0,5,0,0.6,0.6,0.0,0.6,19,108,9,0.12,0.00,0.12,0.12,0.12,0.02,0.00,0.02,0.02,0.02
Tottenham,Pape Matar Sarr,snSEN,MF,20,34,27,"2,069",23.0,3,3,6,3,0,0,9,0,3.4,3.4,2.2,5.7,43,150,90,0.13,0.13,0.26,0.13,0.26,0.15,0.10,0.25,0.15,0.25
Tottenham,James Maddison,engENG,MF,26,28,26,"2,135",23.7,4,9,13,4,0,0,5,0,6.4,6.4,5.9,12.4,58,224,156,0.17,0.38,0.55,0.17,0.55,0.27,0.25,0.52,0.27,0.52
Tottenham,Yves Bissouma,mlMLI,MF,26,28,26,"2,068",23.0,0,0,0,0,0,0,10,2,1.4,1.4,0.4,1.8,43,169,13,0.00,0.00,0.00,0.00,0.00,0.06,0.02,0.08,0.06,0.08
Tottenham,Brennan Johnson,wlsWAL,FW,22,32,23,"2,085",23.2,5,10,15,5,0,0,3,0,10.3,10.3,8.1,18.3,97,72,293,0.22,0.43,0.65,0.22,0.65,0.44,0.35,0.79,0.44,0.79
Tottenham,Richarlison,brBRA,FW,26,28,18,"1,491",16.6,11,4,15,11,0,0,3,0,9.6,9.6,2.1,11.7,26,38,106,0.66,0.24,0.91,0.66,0.91,0.58,0.13,0.70,0.58,0.70
Tottenham,Rodrigo Bentancur,uyURU,MF,26,23,13,"1,005",11.2,1,1,2,1,0,0,7,0,1.9,1.9,0.5,2.4,16,72,31,0.09,0.09,0.18,0.09,0.18,0.17,0.04,0.22,0.17,0.22
Tottenham,Ben Davies,wlsWAL,DF,30,17,12,"1,090",12.1,1,0,1,1,0,0,2,0,2.3,2.3,0.4,2.7,13,71,20,0.08,0.00,0.08,0.08,0.08,0.19,0.03,0.23,0.19,0.23
Tottenham,Emerson,brBRA,DF,24,22,11,"1,161",12.9,1,0,1,1,0,0,4,0,0.2,0.2,0.4,0.6,21,57,35,0.08,0.00,0.08,0.08,0.08,0.02,0.03,0.05,0.02,0.05
Tottenham,Timo Werner,deGER,FW,27,13,10,809,9.0,2,3,5,2,0,0,1,0,3.7,3.7,2.7,6.4,79,41,124,0.22,0.33,0.56,0.22,0.56,0.41,0.30,0.72,0.41,0.72
Tottenham,Pierre Højbjerg,dkDEN,MF,27,36,8,"1,311",14.6,0,0,0,0,0,0,4,0,0.7,0.7,1.2,1.9,17,134,29,0.00,0.00,0.00,0.00,0.00,0.05,0.08,0.13,0.05,0.13
Tottenham,Oliver Skipp,engENG,"MF,DF",22,21,5,707,7.9,0,0,0,0,0,0,3,0,0.7,0.7,0.6,1.3,8,37,25,0.00,0.00,0.00,0.00,0.00,0.09,0.07,0.16,0.09,0.16
Tottenham,Giovani Lo Celso,arARG,MF,27,22,4,506,5.6,2,2,4,2,0,0,2,0,0.6,0.6,1.9,2.5,25,68,29,0.36,0.36,0.71,0.36,0.71,0.10,0.34,0.45,0.10,0.45
Tottenham,Radu Drăgușin,roROU,DF,21,9,4,429,4.8,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,5,8,1,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03
Tottenham,Bryan Gil,esESP,"FW,MF",22,11,2,209,2.3,0,0,0,0,0,0,0,0,0.8,0.8,0.2,1.0,11,16,49,0.00,0.00,0.00,0.00,0.00,0.32,0.09,0.41,0.32,0.41
Tottenham,Manor Solomon,ilISR,FW,24,5,2,199,2.2,0,2,2,0,0,0,1,0,0.4,0.4,0.8,1.2,17,11,44,0.00,0.90,0.90,0.00,0.90,0.19,0.38,0.56,0.19,0.56
Tottenham,Eric Dier,engENG,DF,29,4,1,201,2.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Tottenham,Ivan Perišić,hrCRO,FW,34,5,0,103,1.1,0,1,1,0,0,0,2,0,0.1,0.1,0.9,1.0,15,9,17,0.00,0.87,0.87,0.00,0.87,0.10,0.75,0.85,0.10,0.85
Tottenham,Davinson Sánchez,coCOL,DF,27,1,0,77,0.9,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,0,2,0,0.00,0.00,0.00,0.00,0.00,0.14,0.00,0.14,0.14,0.14
Tottenham,Alejo Véliz,arARG,FW,19,8,0,50,0.6,1,0,1,1,0,0,1,0,0.2,0.2,0.0,0.2,0,1,3,1.80,0.00,1.80,1.80,1.80,0.45,0.00,0.45,0.45,0.45
Tottenham,Dane Scarlett,engENG,FW,19,4,0,22,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Tottenham,Mikey Moore,engENG,MF,15,2,0,4,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,1,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Tottenham,Jamie Donley,engENG,FW,18,3,0,3,0.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Tottenham,Brandon Austin,engENG,GK,24,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tottenham,Alfie Dorrington,engENG,DF,18,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tottenham,Fraser Forster,engENG,GK,35,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tottenham,Tyrese Hall,engENG,MF,17,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tottenham,Ashley Phillips,wlsWAL,DF,18,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tottenham,Yago Santiago,esESP,"FW,MF",20,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tottenham,Alfie Whiteman,engENG,GK,24,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
