team,player,nationality,position,age,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,xg,npxg,xg_assist,npxg_xg_assist,progressive_carries,progressive_passes,progressive_passes_received,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_per90,npxg_xg_assist_per90
West-Ham-United,Vladimír Coufal,czCZE,DF,30,36,36,"3,132",34.8,0,7,7,0,0,0,7,1,0.3,0.3,4.0,4.3,68,119,126,0.00,0.20,0.20,0.00,0.20,0.01,0.11,0.12,0.01,0.12
West-Ham-United,Emerson Palmieri,itITA,DF,28,36,35,"3,137",34.9,1,2,3,1,0,0,10,0,1.5,1.5,2.4,3.9,59,125,124,0.03,0.06,0.09,0.03,0.09,0.04,0.07,0.11,0.04,0.11
West-Ham-United,Jarrod Bowen,engENG,FW,26,34,34,"3,019",33.5,16,6,22,16,0,0,2,0,11.6,11.6,5.5,17.2,90,52,186,0.48,0.18,0.66,0.48,0.66,0.35,0.16,0.51,0.35,0.51
West-Ham-United,James Ward-Prowse,engENG,MF,28,37,34,"3,001",33.3,7,7,14,5,2,2,4,0,6.0,4.4,7.8,12.3,18,144,63,0.21,0.21,0.42,0.15,0.36,0.18,0.23,0.41,0.13,0.37
West-Ham-United,Tomáš Souček,czCZE,MF,28,37,34,"2,870",31.9,7,2,9,7,0,0,7,0,6.7,6.7,1.7,8.4,7,86,39,0.22,0.06,0.28,0.22,0.28,0.21,0.05,0.26,0.21,0.26
West-Ham-United,Kurt Zouma,frFRA,DF,28,33,32,"2,838",31.5,3,0,3,3,0,0,3,0,1.8,1.8,0.2,2.0,7,53,1,0.10,0.00,0.10,0.10,0.10,0.06,0.01,0.06,0.06,0.06
West-Ham-United,Alphonse Areola,frFRA,GK,30,31,31,"2,699",30.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
West-Ham-United,Lucas Paquetá,brBRA,"FW,MF",25,31,31,"2,622",29.1,4,6,10,2,2,2,10,0,5.4,3.8,5.4,9.2,34,187,116,0.14,0.21,0.34,0.07,0.27,0.18,0.18,0.37,0.13,0.32
West-Ham-United,Edson Álvarez,mxMEX,MF,25,31,28,"2,377",26.4,1,1,2,1,0,0,11,0,1.3,1.3,0.6,1.9,20,91,26,0.04,0.04,0.08,0.04,0.08,0.05,0.02,0.07,0.05,0.07
West-Ham-United,Mohammed Kudus,ghGHA,"FW,MF",22,33,27,"2,484",27.6,8,6,14,8,0,0,6,0,5.1,5.1,3.5,8.6,117,80,216,0.29,0.22,0.51,0.29,0.51,0.19,0.13,0.31,0.19,0.31
West-Ham-United,Nayef Aguerd,maMAR,DF,27,21,21,"1,857",20.6,1,0,1,1,0,0,3,1,1.5,1.5,0.3,1.8,10,68,3,0.05,0.00,0.05,0.05,0.05,0.07,0.01,0.09,0.07,0.09
